date,solar_radiation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_sunshine_duration,percentage_possible_sunshine,total_precipitation
01/12/2019,9.4,73,20,5.1,123.2,38,100.5
01/01/2020,,,,,,,194.8
01/03/2020,,,,,,,161.4
01/04/2020,,,,,,,167.1
01/05/2020,,,,,,,227.5
01/06/2020,,,,,,,175
01/07/2020,,,,,,,205.3
01/08/2020,,,,,,,480.1
01/09/2020,,,,,,,147.7
01/10/2020,,,,,,,126.9
01/11/2020,,,,,,,120.9
01/12/2020,,,,,,,108.3
01/01/2021,,,,,,,159.7
01/02/2021,,,,,,,167
01/03/2021,,,,,,,212.1
01/04/2021,,,,,,,237.9
01/05/2021,,,,,,,227.7
01/06/2021,,,,,,,186.2
01/07/2021,,,,,,,174.2
01/08/2021,,,,,,,203.4
01/09/2021,,,,,,,513.3
01/10/2021,,,,,,,185.4
01/11/2021,,,,,,,177.5
01/12/2021,,,,,,,194.5
