date,total_precipitation,mean_relative_humidity,mean_air_temperature,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_wind_speed
01/04/2017,67,71,21.6,34,128.6,15.7,5.2
01/05/2017,315.5,78,24.2,27,112.1,15.7,4.5
01/06/2017,444.5,85,26.6,26,107.7,15.6,5.1
01/07/2017,44,74,29.9,64,267.2,23.1,3.7
01/08/2017,56.5,74,30.4,60,242.1,21.3,4.8
01/09/2017,239.5,75,28.9,50,186.1,17.1,4.9
01/10/2017,270,73,27,44,155.8,14.4,6.3
01/11/2017,146.5,71,22.8,26,85.6,9.5,5.4
01/12/2017,50.5,61,18,31,101.5,9,5.3
01/01/2018,150.5,67,17.2,23,74.9,8.1,5.5
01/02/2018,84,66,16.9,31,97.9,11.4,5.4
01/03/2018,100.5,67,19.9,49,181.6,16.9,5.2
01/04/2018,126,72,21.6,42,161.3,17.8,4.9
01/05/2018,33,78,25.6,58,238.4,22.3,4.7
01/06/2018,218.5,82,27.8,42,171.7,19.2,5.2
01/07/2018,429,82,28.3,43,179.7,18.7,6.5
01/08/2018,310,82,28.5,50,203.4,18.9,5.4
01/09/2018,334.5,79,28.4,47,174.6,17.2,5.5
01/10/2018,375,72,23.9,43,151.8,13.1,5.2
01/11/2018,160.5,71,23.1,48,155.9,12.1,4.8
01/12/2018,148,73,20.4,26,85.3,8.1,5.2
01/01/2019,55,67,18.1,29,97.4,9.3,4.6
01/02/2019,156.5,79,20,25,78.4,10.7,4.4
01/03/2019,183.5,70,19.9,35,129.8,14.1,5.5
01/04/2019,128,78,22.3,31,119.2,15.2,5
01/05/2019,208.5,74,24.2,36,150.7,17.5,4.4
01/06/2019,595.5,89,26.5,22,90.7,14.7,5.2
01/07/2019,284,84,28.9,47,196.2,19.2,5.4
01/08/2019,208,83,29.2,47,191.3,18.9,5.6
01/09/2019,477.5,82,28,42,154.2,15.7,6.2
01/10/2019,104.5,75,26,56,198.8,15.8,5
01/11/2019,136,70,23.1,42,135.7,11.5,5.5
01/12/2019,100.5,73,20,38,123.2,9.4,5.1
01/01/2021,118.5,71,16.8,30,98.7,9.5,5.4
01/02/2021,194.5,72,18.5,48,150.7,13.8,4.8
01/03/2021,69.5,76,20.8,40,146.9,14.8,4.5
01/04/2021,92,73,21.7,38,145.1,16.6,5.6
01/05/2021,163.5,87,25.8,36,150.3,18.3,5.6
01/06/2021,893.5,90,27.1,27,111.9,15.2,5
01/07/2021,337.5,84,28.8,47,198.1,19.4,6.1
01/08/2021,109.5,83,28.7,50,202,20.2,5.5
01/09/2021,241,80,28.8,62,228.2,19.1,4.1
01/10/2021,107.5,76,26.7,42,112.3,14.6,6.1
01/11/2021,,,,,,,5.6
01/12/2021,,,,,,,5.4
01/01/2022,,,,,,,5.3
01/02/2022,,,,,,,5.3
01/03/2022,,,,,,,5.3
01/04/2022,,,,,,,5.3
01/05/2022,,,,,,,5.3
01/06/2022,,,,,,,5.3
