date,solar_radiation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_precipitation,percentage_possible_sunshine,total_sunshine_duration
01/06/2017,15.6,85,26.6,5.1,444.5,26,107.7
01/07/2017,23.1,74,29.9,3.7,44,64,267.2
01/08/2017,21.3,74,30.4,4.8,56.5,60,242.1
01/09/2017,17.1,75,28.9,4.9,239.5,50,186.1
01/10/2017,14.4,73,27,6.3,270,44,155.8
01/11/2017,9.5,71,22.8,5.4,146.5,26,85.6
01/12/2017,9,61,18,5.3,50.5,31,101.5
01/01/2018,8.1,67,17.2,5.5,150.5,23,74.9
01/02/2018,11.4,66,16.9,5.4,84,31,97.9
01/03/2018,16.9,67,19.9,5.2,100.5,49,181.6
01/04/2018,17.8,72,21.6,4.9,126,42,161.3
01/05/2018,22.3,78,25.6,4.7,33,58,238.4
01/06/2018,19.2,82,27.8,5.2,218.5,42,171.7
01/07/2018,18.7,82,28.3,6.5,429,43,179.7
01/08/2018,18.9,82,28.5,5.4,310,50,203.4
01/09/2018,17.2,79,28.4,5.5,334.5,47,174.6
01/10/2018,13.1,72,23.9,5.2,375,43,151.8
01/11/2018,12.1,71,23.1,4.8,160.5,48,155.9
01/12/2018,8.1,73,20.4,5.2,148,26,85.3
01/01/2019,9.3,67,18.1,4.6,55,29,97.4
01/02/2019,10.7,79,20,4.4,156.5,25,78.4
01/03/2019,14.1,70,19.9,5.5,183.5,35,129.8
01/04/2019,15.2,78,22.3,5,128,31,119.2
01/05/2019,17.5,74,24.2,4.4,208.5,36,150.7
01/06/2019,14.7,89,26.5,5.2,595.5,22,90.7
01/07/2019,19.2,84,28.9,5.4,284,47,196.2
01/08/2019,18.9,83,29.2,5.6,208,47,191.3
01/09/2019,15.7,82,28,6.2,477.5,42,154.2
01/10/2019,15.8,75,26,5,104.5,56,198.8
01/11/2019,11.5,70,23.1,5.5,136,42,135.7
01/12/2019,9.4,73,20,5.1,100.5,38,123.2
01/01/2020,,,,,,,118
01/02/2020,,,,,,,121.6
01/03/2020,,,,,,,110.9
01/04/2020,,,,,,,127.5
01/05/2020,,,,,,,129.1
01/06/2020,,,,,,,124.3
01/07/2020,,,,,,,145.1
01/08/2020,,,,,,,121
01/09/2020,,,,,,,133.3
01/10/2020,,,,,,,146.7
01/11/2020,,,,,,,134.4
01/12/2020,,,,,,,139.5
01/01/2021,,,,,,,124.6
01/02/2021,,,,,,,138.3
01/03/2021,,,,,,,123.2
01/04/2021,,,,,,,116.8
01/05/2021,,,,,,,120.1
01/06/2021,,,,,,,120.1
01/07/2021,,,,,,,121.2
01/08/2021,,,,,,,120.7
01/09/2021,,,,,,,121.6
01/10/2021,,,,,,,121.8
01/11/2021,,,,,,,121
01/12/2021,,,,,,,122.5
